"Account","Flag","Check Number","Date","Payee","Category","Master Category","Sub Category","Memo","Outflow","Inflow","Cleared","Running Balance"
"Us Bank",,,09/23/2013,"Download from usbank.com. WPY*Honeyfund 855-469-3729CA","Rainy Day Funds:Gifts","Rainy Day Funds","Gifts",,$50.00,$0.00,R,$3567.54
"Us Bank",,,09/23/2013,"Download from usbank.com. FLOUR AND WATER SAN FRANCISCCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$57.90,$0.00,R,$3509.64
"Us Bank",,,09/23/2013,"Download from usbank.com. BT *TASKRABBIT 888-661-8105CA","Everyday Expenses:Household Goods","Everyday Expenses","Household Goods",,$87.00,$0.00,R,$3422.64
"Us Bank",,,09/23/2013,"Download from usbank.com. FLY SAN FRANCISCCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$109.73,$0.00,R,$3312.91
"Us Bank",,,09/23/2013,"Download from usbank.com. AMAZON MKTPLACE AMZN.COM/BILWA","Everyday Expenses:Household Goods","Everyday Expenses","Household Goods",,$134.47,$0.00,R,$3178.44
"Us Bank",,,09/23/2013,"Download from usbank.com. POTTERY BARN E-C800-922-9934CA","Everyday Expenses:Household Goods","Everyday Expenses","Household Goods",,$143.55,$0.00,R,$3034.89
"Us Bank",,,09/23/2013,"Download from usbank.com. APPLE STORE #R0SAN FRANCISCCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$147.04,$0.00,R,$2887.85
"Us Bank",,,09/23/2013,"Download from usbank.com. SOUTHWES 5260800-435-9792TX","Rainy Day Funds:Gifts","Rainy Day Funds","Gifts",,$250.00,$0.00,R,$2637.85
"Us Bank",,,09/23/2013,"Download from usbank.com. 7246","Debt:Eric's Credit Card","Debt","Eric's Credit Card",,$438.22,$0.00,R,$2199.63
"Us Bank",,,09/24/2013,"Download from usbank.com. SQ *CAFE BEAN San FranciscCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$2.45,$0.00,R,$2197.18
"Us Bank",,,09/24/2013,"Download from usbank.com. NNT VILLAGE PETSSAN FRANCISCCA","Everyday Expenses:Household Goods","Everyday Expenses","Household Goods",,$5.43,$0.00,R,$2191.75
"Us Bank",,,09/24/2013,"Download from usbank.com. WALGREENS 901 HYSAN FRANCISCCA","Everyday Expenses:Groceries","Everyday Expenses","Groceries",,$15.00,$0.00,R,$2176.75
"Us Bank",,,09/24/2013,"Download from usbank.com. SUDACHI SAN FRANCISCCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$17.81,$0.00,R,$2158.94
"Us Bank",,,09/24/2013,"Download from usbank.com. WALGREENS 500 GESAN FRANCISCCA","Everyday Expenses:Household Goods","Everyday Expenses","Household Goods",,$21.84,$0.00,R,$2137.10
"Us Bank",,,09/24/2013,"Download from usbank.com. TRADER JOE'S #20SAN FRANCISCCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$27.39,$0.00,R,$2109.71
"Us Bank",,,09/24/2013,"Download from usbank.com. WHOLE FOODS MARKSan FranciscCA","Everyday Expenses:Groceries","Everyday Expenses","Groceries",,$29.90,$0.00,R,$2079.81
"Us Bank",,,09/24/2013,"Download from usbank.com. SF PARTY SAN FRANCISCCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$32.61,$0.00,R,$2047.20
"Us Bank",,,09/24/2013,"Download from usbank.com. WHOLE FOODS MARKSan FranciscCA","Everyday Expenses:Groceries","Everyday Expenses","Groceries",,$173.51,$0.00,R,$1873.69
"Us Bank",,,09/25/2013,"Download from usbank.com. CUP A JOES COFFESAN FRANCISCCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$6.50,$0.00,R,$1867.19
"Us Bank",,,09/25/2013,"Download from usbank.com. HLU*HuluPlus 541HULU.COM/BILCA","Monthly Bills:Web Stuff","Monthly Bills","Web Stuff",,$7.99,$0.00,R,$1859.20
"Us Bank",,,09/25/2013,"Download from usbank.com. MINT STUDIOS SAN FRANCISCCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$50.00,$0.00,R,$1809.20
"Us Bank",,,09/26/2013,"Download from usbank.com. AMAZON MKTPLACE AMZN.COM/BILWA","Everyday Expenses:Household Goods","Everyday Expenses","Household Goods",,$0.00,$7.81,R,$1817.01
"Us Bank",,,09/26/2013,"Download from usbank.com. VENMO 646-863-9557NY","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$10.00,$0.00,R,$1807.01
"Us Bank",,,09/27/2013,"Download from usbank.com. MODCLOTH INC","Income:Available next month","Income","Available next month",,$0.00,$1451.21,R,$3258.22
"Us Bank",,,09/27/2013,"Download from usbank.com.","Income:Available next month","Income","Available next month",,$0.00,$129.04,R,$3387.26
"Us Bank",,,09/27/2013,"Download from usbank.com.","Income:Available next month","Income","Available next month",,$0.50,$0.00,R,$3386.76
"Us Bank",,,09/27/2013,"Download from usbank.com. EPICENTER CAFE SAN FRANCISCCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$4.08,$0.00,R,$3382.68
"Us Bank",,,09/27/2013,"Download from usbank.com. CVS 10080 10080-SAN FRANCISCCA","Everyday Expenses:Household Goods","Everyday Expenses","Household Goods",,$14.84,$0.00,R,$3367.84
"Us Bank",,,09/27/2013,"Download from usbank.com. TRADER JOE'S #20SAN FRANCISCCA","Everyday Expenses:Groceries","Everyday Expenses","Groceries",,$33.40,$0.00,R,$3334.44
"Us Bank",,,09/27/2013,"Download from usbank.com. SQ *BEAUTIFIED SSan FranciscCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$60.00,$0.00,R,$3274.44
"Us Bank",,,09/30/2013,"Download from usbank.com. SQWIGGLE INC","Income:Available next month","Income","Available next month",,$0.00,$1783.36,R,$5057.80
"Us Bank",,,09/30/2013,"Download from usbank.com. SF PARTY SAN FRANCISCCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$0.00,$32.61,R,$5090.41
"Us Bank",,,09/30/2013,"Download from usbank.com. DENNIS DECOTA SAN ANSELMO CA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$4.40,$0.00,R,$5086.01
"Us Bank",,,09/30/2013,"Download from usbank.com. TRADER JOE'S #20SAN FRANCISCCA","Everyday Expenses:Groceries","Everyday Expenses","Groceries",,$4.49,$0.00,R,$5081.52
"Us Bank",,,09/30/2013,"Download from usbank.com. TRADER JOE'S #20SAN FRANCISCCA","Everyday Expenses:Groceries","Everyday Expenses","Groceries",,$7.70,$0.00,R,$5073.82
"Us Bank",,,09/30/2013,"Download from usbank.com. CUP A JOES COFFESAN FRANCISCCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$9.25,$0.00,R,$5064.57
"Us Bank",,,09/30/2013,"Download from usbank.com. THE CREAMERY SAN FRANCISCCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$11.47,$0.00,R,$5053.10
"Us Bank",,,09/30/2013,"Download from usbank.com. WALGREENS 1300 BSAN FRANCISCCA","Everyday Expenses:Household Goods","Everyday Expenses","Household Goods",,$15.21,$0.00,R,$5037.89
"Us Bank",,,09/30/2013,"Download from usbank.com. SUTTER FINE FOODSAN FRANCISCCA","Everyday Expenses:Groceries","Everyday Expenses","Groceries",,$19.01,$0.00,R,$5018.88
"Us Bank",,,09/30/2013,"Download from usbank.com. BITE SAN FRANCISCCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$20.72,$0.00,R,$4998.16
"Us Bank",,,09/30/2013,"Download from usbank.com. TRADER JOE'S #20SAN FRANCISCCA","Everyday Expenses:Groceries","Everyday Expenses","Groceries",,$36.65,$0.00,R,$4961.51
"Us Bank",,,09/30/2013,"Download from usbank.com. LIVINGSOCIAL* 202-695-8945DC","Everyday Expenses:Medical","Everyday Expenses","Medical",,$47.00,$0.00,R,$4914.51
"Us Bank",,,10/01/2013,"Download from usbank.com. AMC VAN NESS 04San FranciscCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$4.75,$0.00,R,$4909.76
"Us Bank",,,10/01/2013,"Download from usbank.com. AMC VAN NESS 04San FranciscCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$20.50,$0.00,R,$4889.26
"Us Bank",,,10/01/2013,"Download from usbank.com. MET CAS INS CO","Monthly Bills:Car Insurance","Monthly Bills","Car Insurance",,$46.00,$0.00,R,$4843.26
"Us Bank",,,10/02/2013,"Download from usbank.com. SUTTER FINE FOODSAN FRANCISCCA","Everyday Expenses:Groceries","Everyday Expenses","Groceries",,$3.49,$0.00,R,$4839.77
"Us Bank",,,10/02/2013,"Download from usbank.com. SUNDANCE KAB 818-889-8562CA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$13.50,$0.00,R,$4826.27
"Us Bank",,,10/03/2013,"Download from usbank.com. SQ *SHOWPLACE CASan FranciscCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$4.00,$0.00,R,$4822.27
"Us Bank",,,10/03/2013,"Download from usbank.com. SQ *SHOWPLACE CASan FranciscCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$5.00,$0.00,R,$4817.27
"Us Bank",,,10/03/2013,"Download from usbank.com. WHOLE FOODS MARKSan FranciscCA","Everyday Expenses:Groceries","Everyday Expenses","Groceries",,$7.98,$0.00,R,$4809.29
"Us Bank",,,10/03/2013,"Download from usbank.com. WALGREENS 1300 BSAN FRANCISCCA","Everyday Expenses:Household Goods","Everyday Expenses","Household Goods",,$16.07,$0.00,R,$4793.22
"Us Bank",,,10/04/2013,"Download from usbank.com. THE CELLAR SAN FRANCISCCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$4.00,$0.00,R,$4789.22
"Us Bank",,,10/04/2013,"Download from usbank.com. WOK SHOP CAFE INSAN FRANCISCCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$9.85,$0.00,R,$4779.37
"Us Bank",,,10/04/2013,"Download from usbank.com. THE CELLAR SAN FRANCISCCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$10.88,$0.00,R,$4768.49
"Us Bank",,,10/04/2013,"Download from usbank.com. BEVERAGES & MORESAN FRANCISCCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$10.92,$0.00,R,$4757.57
"Us Bank",,,10/04/2013,"Download from usbank.com. WALGREENS 670 4TSAN FRANCISCCA","Everyday Expenses:Household Goods","Everyday Expenses","Household Goods",,$21.70,$0.00,R,$4735.87
"Us Bank",,,10/04/2013,"Download from usbank.com. PAYPAL","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$35.82,$0.00,R,$4700.05
"Us Bank",,,10/07/2013,"Download from usbank.com. EyeExam 30SAN FRANCISCCA","Everyday Expenses:Medical","Everyday Expenses","Medical",,$0.00,$79.95,R,$4780.00
"Us Bank",,,10/07/2013,"Download from usbank.com. CUP A JOES COFFESAN FRANCISCCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$3.75,$0.00,R,$4776.25
"Us Bank",,,10/07/2013,"Download from usbank.com. CUP A JOES COFFESAN FRANCISCCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$3.75,$0.00,R,$4772.50
"Us Bank",,,10/07/2013,"Download from usbank.com. CCSF MTA IPS PRKSAN FRANCISCCA","Everyday Expenses:Transportation","Everyday Expenses","Transportation",,$5.25,$0.00,R,$4767.25
"Us Bank",,,10/07/2013,"Download from usbank.com. GOOGLE*ADWS","Monthly Bills:Web Stuff","Monthly Bills","Web Stuff",,$6.20,$0.00,R,$4761.05
"Us Bank",,,10/07/2013,"Download from usbank.com. GAMESCAPE SAN FRANCISCCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$6.53,$0.00,R,$4754.52
"Us Bank",,,10/07/2013,"Download from usbank.com. BI-RITE DIVIS SAN FRANCISCCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$7.00,$0.00,R,$4747.52
"Us Bank",,,10/07/2013,"Download from usbank.com. SNPFINGERONLINEF678-739-4669GA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$11.52,$0.00,R,$4736.00
"Us Bank",,,10/07/2013,"Download from usbank.com. TRADER JOE'S #20SAN FRANCISCCA","Everyday Expenses:Groceries","Everyday Expenses","Groceries",,$19.75,$0.00,R,$4716.25
"Us Bank",,,10/07/2013,"Download from usbank.com. FANDANGO.COM FANDANGO.COMCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$24.00,$0.00,R,$4692.25
"Us Bank",,,10/07/2013,"Download from usbank.com. WOK SHOP CAFE INSAN FRANCISCCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$24.10,$0.00,R,$4668.15
"Us Bank",,,10/07/2013,"Download from usbank.com. CVS 02852 02852-SAN FRANCISCCA","Everyday Expenses:Household Goods","Everyday Expenses","Household Goods",,$24.34,$0.00,R,$4643.81
"Us Bank",,,10/07/2013,"Download from usbank.com. EyeExam 30SAN FRANCISCCA","Everyday Expenses:Medical","Everyday Expenses","Medical",,$29.70,$0.00,R,$4614.11
"Us Bank",,,10/07/2013,"Download from usbank.com. SQ *UPCIDER San FranciscCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$41.60,$0.00,R,$4572.51
"Us Bank",,,10/07/2013,"Download from usbank.com. WASTELAND SAN FRSAN FRANCISCCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$120.71,$0.00,R,$4451.80
"Us Bank",,,10/07/2013,"Download from usbank.com. TRADER JOE'S #20SAN FRANCISCCA","Everyday Expenses:Groceries","Everyday Expenses","Groceries",,$130.36,$0.00,R,$4321.44
"Us Bank",,,10/07/2013,"Download from usbank.com. APL*APPLE ONLINE800-676-2775CA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$255.79,$0.00,R,$4065.65
"Us Bank",,,10/07/2013,"Download from usbank.com.","Monthly Bills:Rent","Monthly Bills","Rent",,$1615.29,$0.00,R,$2450.36
"Us Bank",,,10/08/2013,"Reconciliation Balance Adjustment","Income:Available this month","Income","Available this month","Entered automatically by YNAB",$4.08,$0.00,R,$2446.28
"Us Bank",,,10/08/2013,"Download from usbank.com. GOODWILL SF - HASAN FRANCISCCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$4.98,$0.00,R,$2441.30
"Us Bank",,,10/08/2013,"Download from usbank.com. SQ *CAL SURPLUS San FranciscCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$17.36,$0.00,R,$2423.94
"Us Bank",,,10/08/2013,"Download from usbank.com. SPARROW BAR AND SAN FRANCISCCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$43.00,$0.00,R,$2380.94
"Us Bank",,,10/09/2013,"Download from usbank.com. VENMO","Monthly Bills:Rent","Monthly Bills","Rent",,$0.00,$414.13,R,$2795.07
"Us Bank",,,10/09/2013,"Download from usbank.com. WHOLE FOODS MARKSan FranciscCA","Everyday Expenses:Groceries","Everyday Expenses","Groceries",,$57.39,$0.00,R,$2737.68
"Us Bank",,,10/09/2013,"Download from usbank.com. Amazon.com AMZN.COM/BILWA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$68.76,$0.00,R,$2668.92
"Us Bank",,,10/10/2013,"Download from usbank.com. SQ *QUALITY BEVESan FranciscCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$8.00,$0.00,R,$2660.92
"Us Bank",,,10/10/2013,"Download from usbank.com. SQ *QUALITY BEVESan FranciscCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$13.00,$0.00,R,$2647.92
"Us Bank",,,10/10/2013,"Download from usbank.com. CARDMEMBER SERV",,,,,$42.00,$0.00,R,$2605.92
"Us Bank",,,10/11/2013,"Download from usbank.com. MODCLOTH INC","Income:Available this month","Income","Available this month",,$0.00,$1451.21,R,$4057.13
"Us Bank",,,10/11/2013,"Download from usbank.com. WHOLE FOODS MARKSan FranciscCA","Everyday Expenses:Groceries","Everyday Expenses","Groceries",,$7.81,$0.00,R,$4049.32
"Us Bank",,,10/11/2013,"Download from usbank.com. ORDERAHEADAPP.CO6505033279 CA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$10.82,$0.00,R,$4038.50
"Us Bank",,,10/11/2013,"Download from usbank.com. LYFT 855-865-9553CA","Everyday Expenses:Transportation","Everyday Expenses","Transportation",,$14.00,$0.00,R,$4024.50
"Us Bank",,,10/11/2013,"Download from usbank.com. WALGREENS 1300 BSAN FRANCISCCA","Everyday Expenses:Household Goods","Everyday Expenses","Household Goods",,$34.85,$0.00,R,$3989.65
"Us Bank",,,10/11/2013,"Download from usbank.com. OLSEN & PARTNERSSAN FRANCISCCA","Everyday Expenses:Misc","Everyday Expenses","Misc","One time charge for filing taxes",$550.00,$0.00,R,$3439.65
"Us Bank",,,10/15/2013,"Download from usbank.com. SQWIGGLE INC","Income:Available this month","Income","Available this month",,$0.00,$1783.37,R,$5223.02
"Us Bank",,,10/15/2013,"Download from usbank.com. GOOGLE *Offers GOOGLE.COM/CCA","Monthly Bills:Web Stuff","Monthly Bills","Web Stuff",,$0.00,$38.00,R,$5261.02
"Us Bank",,,10/15/2013,"Download from usbank.com. GOOGLE *Offers GOOGLE.COM/CCA","Monthly Bills:Web Stuff","Monthly Bills","Web Stuff",,$0.00,$5.00,R,$5266.02
"Us Bank",,,10/15/2013,"Download from usbank.com. 101413PLUSTERM1233 17th Stret San FranciscCAUS1","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$2.50,$0.00,R,$5263.52
"Us Bank",,,10/15/2013,"Download from usbank.com. EPICENTER CAFE SAN FRANCISCCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$2.75,$0.00,R,$5260.77
"Us Bank",,,10/15/2013,"Download from usbank.com. APL*APPLE ITUNES866-712-7753CA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$2.99,$0.00,R,$5257.78
"Us Bank",,,10/15/2013,"Download from usbank.com. QUETZAL SAN FRANCISCCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$3.50,$0.00,R,$5254.28
"Us Bank",,,10/15/2013,"Download from usbank.com. NANOS YOGURT SHAHALF MOON BACA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$5.50,$0.00,R,$5248.78
"Us Bank",,,10/15/2013,"Download from usbank.com. STARBUCKS #05405San FranciscCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$6.80,$0.00,R,$5241.98
"Us Bank",,,10/15/2013,"Download from usbank.com. CVS 10080 SAN FRANCISCCA","Everyday Expenses:Household Goods","Everyday Expenses","Household Goods",,$8.69,$0.00,R,$5233.29
"Us Bank",,,10/15/2013,"Download from usbank.com. ANGRAY FANTASTICSAN FRANCISCCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$9.24,$0.00,R,$5224.05
"Us Bank",,,10/15/2013,"Download from usbank.com. LYFT 855-865-9553CA","Everyday Expenses:Transportation","Everyday Expenses","Transportation",,$10.00,$0.00,R,$5214.05
"Us Bank",,,10/15/2013,"Download from usbank.com. VENMO 646-863-9557NY","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$10.00,$0.00,R,$5204.05
"Us Bank",,,10/15/2013,"Download from usbank.com. WHOLE FOODS MARKSan FranciscCA","Everyday Expenses:Groceries","Everyday Expenses","Groceries",,$11.64,$0.00,R,$5192.41
"Us Bank",,,10/15/2013,"Download from usbank.com. GROUPON INC 877-788-7858IL","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$12.00,$0.00,R,$5180.41
"Us Bank",,,10/15/2013,"Download from usbank.com. CUP A JOES COFFESAN FRANCISCCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$18.20,$0.00,R,$5162.21
"Us Bank",,,10/15/2013,"Download from usbank.com. SLIDERS DINER SAN FRANCISCCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$22.57,$0.00,R,$5139.64
"Us Bank",,,10/15/2013,"Download from usbank.com. SUDACHI SAN FRANCISCCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$22.64,$0.00,R,$5117.00
"Us Bank",,,10/15/2013,"Download from usbank.com. TACOLICIOUS II SAN FRANCISCCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$25.45,$0.00,R,$5091.55
"Us Bank",,,10/15/2013,"Download from usbank.com. Discount GrocersSan FranciscCA","Everyday Expenses:Groceries","Everyday Expenses","Groceries",,$29.91,$0.00,R,$5061.64
"Us Bank",,,10/15/2013,"Download from usbank.com. CHEZ SHEA HALF MOON BACA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$45.41,$0.00,R,$5016.23
"Us Bank",,,10/15/2013,"Download from usbank.com. 1233 17th Stret San FranciscCAUS1","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$62.95,$0.00,R,$4953.28
"Us Bank",,,10/15/2013,"Download from usbank.com. TRADER JOE'S #20SAN FRANCISCCA","Everyday Expenses:Groceries","Everyday Expenses","Groceries",,$132.77,$0.00,R,$4820.51
"Us Bank",,,10/16/2013,"Download from usbank.com. EPICENTER CAFE SAN FRANCISCCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$2.99,$0.00,R,$4817.52
"Us Bank",,,10/17/2013,"Download from usbank.com. CAPITAL ONE 360 SAN FRANCISCCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$2.00,$0.00,R,$4815.52
"Us Bank",,,10/17/2013,"Download from usbank.com. AMAZON MKTPLACE AMZN.COM/BILWA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$3.17,$0.00,R,$4812.35
"Us Bank",,,10/17/2013,"Download from usbank.com. CHIPOTLE 1857 SAN FRANCISCCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$7.56,$0.00,R,$4804.79
